file_name,text_length,chunks_count,expected_sentiment_value,sentiment_volatility
1338.txt,267,1,3.6507,0.0
1339.txt,43,1,2.9448,0.0
134.txt,120,1,3.0063,0.0
1340.txt,892,3,3.1354,0.1619
1341.txt,90,1,3.1601,0.0
1342.txt,246,1,2.9792,0.0
1343.txt,77,1,2.3824,0.0
1344.txt,132,1,3.0004,0.0
1345.txt,49,1,1.7689,0.0
1346.txt,138,1,3.0628,0.0
1347.txt,45,1,2.9954,0.0
1348.txt,92,1,2.9502,0.0
1349.txt,314,1,3.0055,0.0
135.txt,84,1,2.7621,0.0
1350.txt,2235,6,3.759,0.5854
1351.txt,1794,5,3.5721,0.9369
1352.txt,764,2,3.0176,0.0091
1353.txt,100,1,3.299,0.0
1354.txt,2336,6,2.5867,0.3679
1355.txt,240,1,2.997,0.0
1356.txt,48,1,2.9915,0.0
1357.txt,360,1,1.9668,0.0
1358.txt,1583,4,3.1107,0.1256
1359.txt,247,1,4.5916,0.0
136.txt,2879,8,2.7298,0.8159
1360.txt,430,2,3.4133,0.0116
1361.txt,122,1,3.012,0.0
1362.txt,979,3,4.0251,0.6632
1363.txt,43,1,3.0052,0.0
1364.txt,107,1,2.8834,0.0
1365.txt,1400,4,3.1334,0.6563
1366.txt,329,1,3.1055,0.0
1367.txt,268,1,2.9583,0.0
1368.txt,745,2,4.2142,0.1777
1369.txt,152,1,3.8109,0.0
137.txt,289,1,3.0492,0.0
1370.txt,180,1,3.0542,0.0
1371.txt,279,1,3.4678,0.0
1372.txt,78,1,3.1933,0.0
1373.txt,124,1,3.007,0.0
1374.txt,286,1,2.9854,0.0
1375.txt,65,1,2.9577,0.0
1376.txt,934,3,3.0093,0.0043
1377.txt,569,2,3.0097,0.0102
1378.txt,1217,4,2.5475,1.1298
1379.txt,38,1,3.0426,0.0
138.txt,2265,6,2.7546,0.7866
1380.txt,116,1,4.4562,0.0
1381.txt,272,1,2.9842,0.0
1382.txt,247,1,3.0241,0.0
1383.txt,224,1,2.9862,0.0
1384.txt,171,1,3.5624,0.0
1385.txt,290,1,1.4505,0.0
1386.txt,3162,8,3.1582,0.3033
1387.txt,52,1,2.7445,0.0
1388.txt,146,1,2.9749,0.0
1389.txt,5587,14,2.9435,0.6037
139.txt,79,1,3.0142,0.0
1390.txt,2204,6,3.0815,0.6968
1391.txt,7614,20,2.9383,0.7086
1392.txt,878,3,2.035,0.5651
1393.txt,235,1,3.8003,0.0
1394.txt,304,1,4.6162,0.0
1395.txt,454,2,3.4483,0.4315
1396.txt,211,1,4.624,0.0
1397.txt,148,1,1.2724,0.0
1398.txt,98,1,1.3882,0.0
1399.txt,111,1,3.0851,0.0
14.txt,30,1,3.1604,0.0
140.txt,26,1,2.8217,0.0
1400.txt,131,1,3.0112,0.0
1401.txt,337,1,3.0217,0.0
1402.txt,356,1,4.6788,0.0
1403.txt,2234,6,2.7198,0.3085
1404.txt,224,1,3.0888,0.0
1405.txt,3913,10,2.7866,0.6059
1406.txt,52,1,3.0334,0.0
1407.txt,396,1,3.1281,0.0
1408.txt,1156,3,3.3004,0.4152
1409.txt,658,2,3.0252,0.0144
141.txt,613,2,3.4745,0.5046
1410.txt,141,1,2.6432,0.0
1411.txt,494,2,3.9035,0.1769
1412.txt,209,1,3.021,0.0
1413.txt,40,1,2.7835,0.0
1414.txt,205,1,2.9869,0.0
1415.txt,322,1,3.0283,0.0
1416.txt,181,1,3.281,0.0
1417.txt,98,1,2.9556,0.0
1418.txt,286,1,3.0606,0.0
1419.txt,497,2,3.9918,0.4913
142.txt,149,1,2.9948,0.0
1420.txt,220,1,4.0883,0.0
1421.txt,509,2,3.0105,0.0071
1422.txt,257,1,4.1198,0.0
1423.txt,99,1,3.0501,0.0
1424.txt,241,1,1.614,0.0
1425.txt,1129,3,2.8409,0.2139
1426.txt,2016,6,3.8563,0.5421
1427.txt,84,1,2.8605,0.0
1428.txt,95,1,1.8342,0.0
1429.txt,449,2,3.6391,0.0433
143.txt,460,2,3.2632,0.993
1430.txt,1071,3,3.0609,0.1542
1431.txt,49,1,2.9865,0.0
1432.txt,60,1,3.8445,0.0
1433.txt,1120,3,2.8223,0.9644
1434.txt,100,1,3.1507,0.0
1435.txt,70,1,2.6793,0.0
1436.txt,473,2,3.0097,0.0104
1437.txt,1751,5,2.0255,0.372
1438.txt,100,1,3.9046,0.0
1439.txt,50,1,3.0112,0.0
144.txt,751,2,2.5578,0.5498
1440.txt,300,1,3.0226,0.0
1441.txt,26,1,2.9831,0.0
1442.txt,538,2,3.9095,0.3046
1443.txt,792,2,3.0698,0.0667
1444.txt,50,1,2.9587,0.0
1445.txt,2283,6,3.6421,0.7453
1446.txt,457,2,2.9165,0.1941
1447.txt,40,1,2.9842,0.0
1448.txt,281,1,2.0677,0.0
1449.txt,2938,8,2.3812,0.4064
145.txt,2613,7,2.972,0.0948
1450.txt,2928,8,2.7957,0.6173
1451.txt,169,1,3.0018,0.0
1452.txt,256,1,3.0367,0.0
1453.txt,2830,8,2.3496,0.6154
1454.txt,138,1,3.0098,0.0
1455.txt,597,2,3.3719,0.1368
1456.txt,171,1,3.141,0.0
1457.txt,678,2,3.3339,0.1035
1458.txt,644,2,3.0118,0.0078
1459.txt,76,1,2.6027,0.0
146.txt,2299,6,3.2797,0.429
1460.txt,969,3,3.293,0.4006
1461.txt,468,2,3.5401,0.3601
1462.txt,109,1,3.4288,0.0
1463.txt,157,1,2.9846,0.0
1464.txt,135,1,3.0489,0.0
1465.txt,136,1,2.9759,0.0
1466.txt,113,1,3.883,0.0
1467.txt,270,1,3.1728,0.0
1468.txt,110,1,3.0017,0.0
1469.txt,243,1,3.8176,0.0
147.txt,1417,4,2.5863,0.6326
1470.txt,110,1,3.0005,0.0
1471.txt,1958,5,3.7313,0.5431
1472.txt,258,1,3.0484,0.0
1473.txt,420,2,2.888,0.1448
1474.txt,260,1,2.8952,0.0
1475.txt,243,1,2.9816,0.0
1476.txt,156,1,3.0042,0.0
1477.txt,1225,4,2.5959,0.7921
1478.txt,2558,7,3.3819,0.7789
1479.txt,270,1,2.9793,0.0
148.txt,944,3,2.7316,0.3863
1480.txt,148,1,3.2114,0.0
1481.txt,71,1,3.0065,0.0
1482.txt,82,1,3.0967,0.0
1483.txt,1659,5,3.2467,0.3561
1484.txt,312,1,2.9924,0.0
1485.txt,2991,8,3.3148,0.5152
1486.txt,64,1,3.1477,0.0
1487.txt,1405,4,3.0375,0.0228
1488.txt,2947,8,2.9943,0.0363
1489.txt,949,3,2.4803,0.5949
149.txt,137,1,2.6063,0.0
1490.txt,1882,5,2.2522,0.5342
1491.txt,728,2,3.0337,0.032
1492.txt,35,1,3.0105,0.0
1493.txt,249,1,4.4643,0.0
1494.txt,109,1,3.2619,0.0
1495.txt,296,1,3.0039,0.0
1496.txt,1013,3,3.1363,0.2502
1497.txt,215,1,4.0732,0.0
1498.txt,309,1,2.9995,0.0
1499.txt,136,1,3.0203,0.0
15.txt,117,1,2.9569,0.0
150.txt,1262,4,1.6971,0.6407
1500.txt,257,1,2.9842,0.0
1501.txt,517,2,3.1229,0.0714
1502.txt,157,1,4.2425,0.0
1503.txt,28,1,3.0239,0.0
1504.txt,112,1,2.5619,0.0
1505.txt,74,1,2.934,0.0
1506.txt,41,1,3.0112,0.0
1507.txt,123,1,2.9134,0.0
1508.txt,300,1,2.8851,0.0
1509.txt,289,1,1.6436,0.0
151.txt,597,2,3.5014,0.4903
1510.txt,612,2,2.6834,0.4259
1511.txt,123,1,2.6579,0.0
1512.txt,2666,7,3.161,0.3012
1513.txt,35,1,3.2089,0.0
1514.txt,2325,6,3.0169,0.0173
1515.txt,1005,3,2.4438,0.8461
1516.txt,1003,3,3.227,0.2021
1517.txt,154,1,4.165,0.0
1518.txt,1260,4,2.9921,0.0172
1519.txt,173,1,1.9745,0.0
152.txt,1337,4,3.2175,0.2163
1520.txt,1191,3,2.5904,0.5035
1521.txt,257,1,4.0551,0.0
1522.txt,2912,8,2.5933,0.7004
1523.txt,453,2,3.4305,0.4226
1524.txt,364,1,2.8189,0.0
1525.txt,3974,10,3.1222,0.5695
1526.txt,232,1,4.491,0.0
1527.txt,158,1,3.0156,0.0
1528.txt,608,2,3.1618,0.1693
1529.txt,44,1,2.778,0.0
